t_ratio
0.86
0.87
0.72
0.82
0.72
0.84
0.95
0.75
0.73
0.87
0.79
0.82
0.9
0.9
0.82
0.91
0.86
0.73
0.81
0.95
0.71
0.71
0.74
0.78
0.93
0.76
