t_ratio
0.9
0.88
0.8
0.71
0.7
0.76
0.73
0.85
0.73
0.75
0.88
0.71
0.89
0.78
0.92
0.8
0.77
0.8
0.77
0.75
0.73
0.75
0.76
0.95
0.79
0.79
