t_ratio
0.87
0.84
0.84
0.86
0.94
0.88
0.81
0.83
0.78
0.9
0.85
0.83
0.82
0.79
0.72
0.72
0.9
0.82
0.81
0.94
0.89
0.88
0.71
0.9
0.81
0.75
