t_ratio
0.81
0.73
0.79
0.88
0.88
0.91
0.93
0.72
0.72
0.71
0.77
0.87
0.91
0.86
0.72
0.95
0.84
0.77
0.85
0.71
0.88
0.92
0.87
0.71
0.76
0.77
