t_ratio
0.71
0.77
0.74
0.88
0.95
0.73
0.71
0.83
0.72
0.89
0.79
0.82
0.85
0.8
0.78
0.75
0.74
0.92
0.93
0.91
0.87
0.7
0.82
0.8
0.89
0.79
