t_ratio
0.75
0.77
0.92
0.91
0.77
0.92
0.86
0.73
0.78
0.77
0.72
0.77
0.85
0.87
0.81
0.75
0.72
0.75
0.87
0.92
0.88
0.78
0.94
0.85
0.83
0.9
