t_ratio
0.7
0.94
0.71
0.78
0.86
0.74
0.94
0.87
0.77
0.94
0.8
0.93
0.79
0.87
0.71
0.86
0.89
0.86
0.72
0.87
0.94
0.93
0.9
0.8
0.73
0.78
