t_ratio
0.87
0.8
0.74
0.8
0.73
0.93
0.75
0.8
0.87
0.94
0.89
0.82
0.73
0.77
0.85
0.89
0.73
0.8
0.82
0.75
0.92
0.77
0.95
0.95
0.72
0.9
