t_ratio
0.87
0.71
0.87
0.82
0.93
0.72
0.75
0.7
0.87
0.89
0.87
0.8
0.84
0.77
0.87
0.73
0.74
0.8
0.82
0.73
0.74
0.89
0.8
0.82
0.73
0.77
