t_ratio
0.93
0.9
0.76
0.83
0.83
0.91
0.93
0.9
0.71
0.79
0.85
0.79
0.92
0.91
0.73
0.86
0.8
0.93
0.82
0.84
0.71
0.88
0.92
0.77
0.93
0.85
