t_ratio
0.8
0.85
0.92
0.93
0.93
0.77
0.83
0.86
0.83
0.83
0.95
0.88
0.91
0.95
0.93
0.91
0.71
0.87
0.86
0.94
0.84
0.78
0.7
0.92
0.8
0.92
