t_ratio
0.76
0.76
0.88
0.81
0.95
0.71
0.84
0.86
0.76
0.89
0.72
0.79
0.91
0.84
0.93
0.82
0.71
0.88
0.72
0.85
0.91
0.87
0.89
0.93
0.81
0.95
