ue_id,x,y,time_step
0,164.78,69.01,0.00
0,165.61,70.11,1.00
0,167.97,73.21,2.00
0,171.75,78.18,3.00
0,176.86,84.91,4.00
0,182.81,92.74,5.00
0,190.16,102.42,6.00
0,198.53,113.42,7.00
0,207.07,124.67,8.00
0,215.47,135.71,9.00
0,224.34,147.39,10.00
0,233.01,158.80,11.00
0,241.50,169.96,12.00
0,249.89,180.96,13.00
0,258.20,191.53,14.00
0,266.34,202.32,15.00
0,274.84,213.66,16.00
0,283.40,224.43,17.00
0,291.92,234.86,18.00
0,300.88,245.85,19.00
0,309.56,256.48,20.00
0,317.41,268.03,21.00
0,324.44,279.78,22.00
0,330.93,292.89,23.00
0,336.96,305.36,24.00
0,342.90,317.62,25.00
0,349.37,330.78,26.00
0,355.54,343.39,27.00
0,361.64,355.82,28.00
0,367.93,368.62,29.00
0,373.89,380.75,30.00
0,379.98,393.13,31.00
0,386.09,405.56,32.00
0,392.26,418.13,33.00
0,398.24,430.28,34.00
0,404.51,443.04,35.00
0,410.96,456.17,36.00
0,417.06,468.57,37.00
0,422.99,480.63,38.00
0,429.41,493.69,39.00
0,437.27,505.57,40.00
0,445.17,517.94,41.00
0,451.61,530.74,42.00
0,458.10,543.62,43.00
0,464.63,556.59,44.00
0,470.84,568.93,45.00
0,477.06,581.29,46.00
0,483.29,593.67,47.00
0,489.64,606.28,48.00
0,495.93,618.76,49.00
0,502.02,630.86,50.00
0,508.07,642.89,51.00
0,514.57,655.79,52.00
0,520.03,666.65,53.00
0,523.82,674.03,54.00
0,525.54,677.39,55.00
0,525.82,677.94,56.00
0,525.88,678.05,57.00
0,525.89,678.08,58.00
0,525.91,678.11,59.00
0,525.91,678.11,60.00
0,525.91,678.11,61.00
0,525.91,678.11,62.00
0,525.91,678.11,63.00
0,525.91,678.11,64.00
0,525.91,678.11,65.00
0,525.91,678.11,66.00
0,525.91,678.11,67.00
0,525.91,678.11,68.00
0,525.91,678.11,69.00
0,525.91,678.11,70.00
0,525.91,678.11,71.00
0,525.91,678.11,72.00
0,525.91,678.11,73.00
0,525.91,678.11,74.00
0,525.91,678.11,75.00
0,525.91,678.11,76.00
0,525.91,678.11,77.00
0,525.91,678.11,78.00
0,525.91,678.11,79.00
0,525.91,678.11,80.00
0,525.91,678.11,81.00
0,525.91,678.11,82.00
0,525.91,678.11,83.00
0,525.91,678.11,84.00
0,525.91,678.11,85.00
0,525.91,678.11,86.00
0,525.91,678.11,87.00
0,525.91,678.11,88.00
0,525.91,678.11,89.00
0,526.85,679.88,90.00
0,528.91,683.64,91.00
0,531.98,689.81,92.00
0,535.03,696.79,93.00
0,533.87,694.57,94.00
0,537.73,688.38,95.00
0,544.96,687.52,96.00
0,555.14,692.37,97.00
0,566.85,697.76,98.00
0,580.17,702.04,99.00
0,593.62,706.28,100.00
0,607.26,710.54,101.00
0,620.52,714.67,102.00
0,634.46,719.01,103.00
0,646.96,726.25,104.00
0,659.90,730.28,105.00
0,673.78,734.65,106.00
0,687.44,738.88,107.00
0,701.05,742.46,108.00
0,713.61,747.57,109.00
0,727.26,753.11,110.00
0,740.50,758.49,111.00
0,750.28,762.45,112.00
0,755.89,764.71,113.00
0,757.69,765.41,114.00
0,757.76,765.44,115.00
0,757.79,765.45,116.00
0,757.81,765.46,117.00
0,757.81,765.46,118.00
0,757.82,765.46,119.00
0,757.82,765.46,120.00
0,758.99,762.48,121.00
0,758.99,762.48,122.00
0,758.99,762.48,123.00
0,758.99,762.48,124.00
0,758.99,762.48,125.00
0,758.99,762.48,126.00
0,758.99,762.48,127.00
0,758.99,762.48,128.00
0,758.99,762.48,129.00
0,758.99,762.48,130.00
0,758.99,762.48,131.00
0,758.99,762.48,132.00
0,758.99,762.48,133.00
0,758.99,762.48,134.00
0,760.32,763.00,135.00
0,763.29,764.07,136.00
0,767.80,765.72,137.00
0,774.79,767.91,138.00
0,783.33,773.08,139.00
0,794.88,775.19,140.00
0,807.48,778.08,141.00
0,820.26,774.55,142.00
0,833.54,768.70,143.00
0,845.17,763.57,144.00
0,853.47,759.91,145.00
0,858.32,757.77,146.00
0,859.28,757.35,147.00
0,859.95,757.05,148.00
0,859.96,757.05,149.00
0,859.96,757.04,150.00
0,859.96,757.04,151.00
0,859.96,757.04,152.00
0,859.96,757.04,153.00
0,859.96,757.04,154.00
0,859.96,757.04,155.00
0,859.96,757.04,156.00
0,859.96,757.04,157.00
0,859.96,757.04,158.00
0,859.96,757.04,159.00
0,859.96,757.04,160.00
0,859.96,757.04,161.00
0,859.96,757.04,162.00
0,859.96,757.04,163.00
0,859.96,757.04,164.00
0,859.96,757.04,165.00
0,859.96,757.04,166.00
0,859.96,757.04,167.00
0,859.96,757.04,168.00
0,859.96,757.04,169.00
0,859.96,757.04,170.00
0,859.96,757.04,171.00
0,859.96,757.04,172.00
0,859.96,757.04,173.00
0,859.96,757.04,174.00
0,859.96,757.04,175.00
0,859.96,757.04,176.00
0,859.96,757.04,177.00
0,859.96,757.04,178.00
0,859.96,757.04,179.00
0,862.22,756.04,180.00
0,866.00,754.35,181.00
0,871.34,751.97,182.00
0,877.93,749.03,183.00
0,885.87,745.48,184.00
0,895.94,741.03,185.00
0,907.67,735.93,186.00
0,920.71,730.25,187.00
0,933.76,724.58,188.00
0,947.12,718.99,189.00
0,959.57,713.77,190.00
0,972.02,708.56,191.00
0,980.72,704.91,192.00
0,985.68,702.83,193.00
0,987.78,701.95,194.00
0,988.02,701.85,195.00
0,988.08,701.83,196.00
0,988.09,701.83,197.00
0,988.09,701.83,198.00
0,988.09,701.83,199.00
0,988.09,701.83,200.00
0,988.09,701.83,201.00
0,988.09,701.83,202.00
0,988.09,701.83,203.00
0,988.09,701.83,204.00
0,988.09,701.83,205.00
0,988.09,701.83,206.00
0,988.09,701.83,207.00
0,988.09,701.83,208.00
0,988.09,701.83,209.00
0,988.09,701.83,210.00
0,988.09,701.83,211.00
0,988.09,701.83,212.00
0,988.09,701.83,213.00
0,988.09,701.83,214.00
0,988.09,701.83,215.00
0,988.09,701.83,216.00
0,988.09,701.83,217.00
0,988.09,701.83,218.00
0,988.09,701.83,219.00
0,988.09,701.83,220.00
0,988.09,701.83,221.00
0,988.09,701.83,222.00
0,988.09,701.83,223.00
0,988.09,701.83,224.00
0,988.09,701.83,225.00
0,988.09,701.83,226.00
0,988.09,701.83,227.00
0,988.09,701.83,228.00
0,988.09,701.83,229.00
0,988.09,701.83,230.00
0,988.09,701.83,231.00
0,988.09,701.83,232.00
0,988.09,701.83,233.00
0,988.09,701.83,234.00
0,988.09,701.83,235.00
0,988.09,701.83,236.00
0,988.09,701.83,237.00
0,988.09,701.83,238.00
0,988.09,701.83,239.00
0,989.09,700.74,240.00
0,989.55,696.81,241.00
0,989.88,690.40,242.00
0,990.19,682.64,243.00
0,990.45,673.45,244.00
0,991.11,662.75,245.00
0,993.33,650.02,246.00
0,994.87,634.76,247.00
0,994.82,620.95,248.00
0,994.64,608.42,249.00
0,1000.24,601.49,250.00
0,1009.97,598.06,251.00
0,1022.45,594.95,252.00
0,1036.04,591.56,253.00
0,1050.15,588.04,254.00
0,1063.33,584.75,255.00
0,1077.45,581.22,256.00
0,1091.27,577.77,257.00
0,1102.73,574.91,258.00
0,1110.96,572.86,259.00
0,1121.16,570.97,260.00
0,1133.22,568.89,261.00
0,1146.67,565.46,262.00
0,1160.14,562.02,263.00
0,1173.70,558.56,264.00
0,1187.82,554.96,265.00
0,1201.47,551.48,266.00
0,1215.24,547.98,267.00
0,1228.26,544.64,268.00
0,1241.66,541.20,269.00
0,1255.53,537.64,270.00
0,1268.68,534.26,271.00
0,1281.80,530.90,272.00
0,1296.02,527.19,273.00
0,1309.69,523.59,274.00
0,1323.17,520.05,275.00
0,1336.38,516.60,276.00
0,1349.84,513.24,277.00
0,1363.52,509.88,278.00
0,1377.71,506.39,279.00
0,1389.75,502.70,280.00
0,1398.59,499.17,281.00
0,1402.99,496.77,282.00
0,1403.54,496.47,283.00
0,1403.91,496.26,284.00
0,1403.96,496.23,285.00
0,1404.00,496.21,286.00
0,1404.00,496.21,287.00
0,1404.00,496.21,288.00
0,1404.00,496.21,289.00
0,1404.00,496.21,290.00
0,1404.00,496.21,291.00
0,1404.00,496.21,292.00
0,1404.00,496.21,293.00
0,1404.00,496.21,294.00
0,1404.00,496.21,295.00
0,1404.00,496.21,296.00
0,1404.00,496.21,297.00
0,1404.00,496.21,298.00
0,1404.00,496.21,299.00
0,1404.00,496.21,300.00
0,1404.00,496.21,301.00
0,1404.00,496.21,302.00
0,1404.00,496.21,303.00
0,1404.00,496.21,304.00
0,1404.00,496.21,305.00
0,1404.00,496.21,306.00
0,1404.00,496.21,307.00
0,1404.00,496.21,308.00
0,1404.00,496.21,309.00
0,1404.00,496.21,310.00
0,1404.00,496.21,311.00
0,1404.00,496.21,312.00
0,1404.00,496.21,313.00
0,1404.00,496.21,314.00
0,1405.74,494.95,315.00
0,1408.65,492.94,316.00
0,1413.86,490.17,317.00
0,1420.67,487.12,318.00
0,1429.05,483.40,319.00
0,1439.74,478.66,320.00
0,1452.27,473.10,321.00
0,1460.87,469.29,322.00
0,1466.22,466.92,323.00
0,1468.12,466.07,324.00
0,1468.83,465.75,325.00
0,1469.09,465.64,326.00
0,1469.18,465.59,327.00
0,1469.27,465.55,328.00
0,1469.28,465.55,329.00
0,1470.32,464.70,330.00
0,1471.19,461.78,331.00
0,1470.14,456.42,332.00
0,1467.92,448.99,333.00
0,1464.44,439.48,334.00
0,1459.67,428.34,335.00
0,1455.44,418.59,336.00
0,1450.88,408.49,337.00
0,1446.24,398.23,338.00
0,1441.81,388.42,339.00
0,1437.38,378.60,340.00
0,1432.74,368.34,341.00
0,1428.25,358.39,342.00
0,1423.61,348.12,343.00
0,1419.50,339.02,344.00
0,1417.24,333.99,345.00
0,1416.55,332.45,346.00
0,1416.37,332.04,347.00
0,1416.34,331.97,348.00
0,1416.32,331.94,349.00
0,1416.31,331.92,350.00
0,1416.31,331.92,351.00
0,1416.31,331.91,352.00
0,1416.31,331.91,353.00
0,1416.31,331.91,354.00
0,1416.31,331.91,355.00
0,1416.31,331.91,356.00
0,1416.31,331.91,357.00
0,1416.31,331.91,358.00
0,1416.31,331.91,359.00
0,1415.50,330.48,360.00
0,1412.86,327.83,361.00
0,1407.12,325.67,362.00
0,1399.28,324.87,363.00
0,1389.42,324.69,364.00
0,1378.40,324.37,365.00
0,1367.78,323.78,366.00
0,1356.30,322.99,367.00
0,1349.19,322.42,368.00
0,1340.24,321.66,369.00
0,1329.30,320.66,370.00
0,1320.38,319.77,371.00
0,1315.22,319.25,372.00
0,1308.43,318.57,373.00
0,1300.14,317.75,374.00
0,1289.68,316.70,375.00
0,1278.73,315.61,376.00
0,1268.67,314.60,377.00
0,1261.49,313.89,378.00
0,1252.05,312.85,379.00
0,1240.69,311.57,380.00
0,1229.03,310.33,381.00
0,1217.71,309.12,382.00
0,1206.17,308.07,383.00
