t_ratio
0.82
0.78
0.88
0.82
0.95
0.92
0.79
0.87
0.71
0.72
0.73
0.81
0.88
0.91
0.8
0.74
0.81
0.81
0.91
0.75
0.84
0.71
0.85
0.81
0.93
0.89
