t_ratio
0.73
0.74
0.91
0.77
0.71
0.93
0.78
0.71
0.93
0.91
0.94
0.83
0.9
0.77
0.78
0.79
0.78
0.79
0.88
0.77
0.77
0.88
0.76
0.87
0.85
0.87
