t_ratio
0.82
0.91
0.89
0.76
0.7
0.82
0.78
0.86
0.76
0.87
0.9
0.8
0.86
0.77
0.72
0.88
0.83
0.87
0.87
0.82
0.73
0.72
0.82
0.8
0.81
0.74
