t_ratio
0.71
0.82
0.78
0.85
0.8
0.78
0.83
0.8
0.91
0.89
0.75
0.91
0.78
0.75
0.7
0.87
0.83
0.93
0.8
0.88
0.84
0.9
0.88
0.87
0.84
0.85
