t_ratio
0.71
0.77
0.81
0.91
0.75
0.83
0.9
0.89
0.76
0.79
0.79
0.94
0.78
0.93
0.9
0.88
0.8
0.76
0.79
0.71
0.76
0.88
0.91
0.77
0.72
0.77
