t_ratio
0.9
0.86
0.78
0.95
0.77
0.88
0.74
0.85
0.8
0.85
0.81
0.85
0.82
0.72
0.95
0.73
0.9
0.77
0.95
0.93
0.8
0.85
0.82
0.73
0.94
0.91
