t_ratio
0.8
0.8
0.76
0.85
0.78
0.9
0.85
0.8
0.79
0.94
0.76
0.9
0.92
0.76
0.9
0.79
0.93
0.88
0.8
0.71
0.77
0.88
0.87
0.79
0.79
0.75
