t_ratio
0.78
0.87
0.91
0.86
0.86
0.73
0.83
0.72
0.93
0.85
0.95
0.78
0.73
0.84
0.79
0.74
0.94
0.85
0.86
0.76
0.73
0.84
0.79
0.9
0.84
0.84
