t_ratio
0.86
0.77
0.89
0.86
0.87
0.91
0.79
0.84
0.91
0.8
0.73
0.7
0.78
0.86
0.79
0.79
0.88
0.78
0.89
0.7
0.8
0.76
0.93
0.82
0.78
0.82
