t_ratio
0.95
0.82
0.73
0.86
0.89
0.9
0.91
0.9
0.73
0.79
0.71
0.81
0.95
0.93
0.8
0.82
0.88
0.92
0.79
0.73
0.78
0.73
0.76
0.85
0.86
0.71
