ue_id,ue_x,ue_y,alloc_enb,rsrq
0,164.78,69.01,20,-10.5536
0,165.61,70.11,20,-10.5122
0,167.97,73.21,20,-10.3953
0,171.75,78.18,20,-10.2108
0,176.86,84.91,20,-9.96689
0,182.81,92.74,20,-9.69212
0,190.16,102.42,20,-9.36822
0,198.53,113.42,20,-9.02394
0,207.07,124.67,20,-8.70468
0,215.47,135.71,20,-8.42819
0,224.34,147.39,20,-8.18411
0,233.01,158.8,20,-8.00043
0,241.5,169.96,20,-7.87958
0,249.89,180.96,20,-7.82186
0,258.2,191.53,20,-7.81975
0,266.34,202.32,20,-7.8889
0,274.84,213.66,20,-8.02557
0,283.4,224.43,20,-8.20055
0,291.92,234.86,20,-8.41434
0,300.88,245.85,20,-8.68577
0,309.56,256.48,20,-8.98649
0,317.41,268.03,20,-9.35909
0,324.44,279.78,20,-9.7663
0,330.93,292.89,20,-10.2431
0,336.96,305.36,20,-10.7079
0,342.9,317.62,20,-11.1731
0,349.37,330.78,8,-13.5761
0,355.54,343.39,8,-13.0126
0,361.64,355.82,8,-12.4616
0,367.93,368.62,8,-11.8999
0,373.89,380.75,8,-11.3741
0,379.98,393.13,8,-10.8456
0,386.09,405.56,8,-10.3252
0,392.26,418.13,8,-9.81198
0,398.24,430.28,8,-9.33207
0,404.51,443.04,8,-8.85008
0,410.96,456.17,8,-8.38517
0,417.06,468.57,8,-7.98474
0,422.99,480.63,8,-7.64275
0,429.41,493.69,8,-7.34138
0,437.27,505.57,8,-7.21035
0,445.17,517.94,8,-7.17768
0,451.61,530.74,8,-7.19712
0,458.1,543.62,8,-7.32738
0,464.63,556.59,8,-7.5583
0,470.84,568.93,8,-7.85523
0,477.06,581.29,8,-8.21252
0,483.29,593.67,8,-8.61694
0,489.64,606.28,8,-9.06567
0,495.93,618.76,8,-9.53783
0,502.02,630.86,8,-10.0157
0,508.07,642.89,8,-10.5062
0,514.57,655.79,8,-11.0462
0,520.03,666.65,8,-11.5093
0,523.82,674.03,25,-11.9347
0,525.54,677.39,25,-11.8345
0,525.82,677.94,25,-11.8182
0,525.88,678.05,25,-11.8149
0,525.89,678.08,25,-11.814
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,525.91,678.11,25,-11.8132
0,526.85,679.88,25,-11.7613
