enb_id,score,alloc,rsrq,hand_ctn
24,-0.474792,0,-37.769,4
25,0.112027,0,-28.0865,4
0,-0.357448,0,-35.7017,4
1,-0.612381,0,-39.9081,4
2,1.05597,1,-13.017,4
3,1.00862,0,-14.5549,4
4,0.132288,0,-27.621,4
5,0.794655,0,-16.8406,4
6,-1.29038,0,-51.0951,4
7,0.781686,0,-17.1648,4
8,-0.612617,0,-39.912,4
9,0.477574,0,-22.4541,4
10,-1.36207,0,-52.2779,4
11,0.200654,0,-26.493,4
12,-0.718783,0,-41.6637,4
13,0.383367,0,-25.3709,4
14,0.445128,0,-22.482,4
15,0.302496,0,-24.8134,4
16,0.112018,0,-27.9555,4
17,-0.720568,0,-41.6932,4
18,-0.335445,0,-35.3386,4
19,-0.296207,0,-39.6233,4
20,-1.0482,0,-47.0992,4
21,-0.711314,0,-41.5405,4
22,0.59416,0,-20.1562,4
23,-0.510471,0,-38.2266,4
24,-0.480332,0,-37.7293,4
25,0.100784,0,-28.1408,4
0,-0.37839,0,-35.9137,4
1,-0.633748,0,-40.1271,4
2,1.03264,1,-13.2109,4
3,1.01011,0,-14.3364,4
4,0.122921,0,-27.6421,4
5,0.774704,0,-17.0104,4
6,-1.29483,0,-51.035,4
7,0.775523,0,-17.1036,4
8,-0.631266,0,-40.0862,4
9,0.463275,0,-22.5415,4
10,-1.36742,0,-52.2327,4
11,0.200092,0,-26.3687,4
12,-0.721517,0,-41.5753,4
13,0.380829,0,-25.2775,4
14,0.438992,0,-22.4447,4
15,0.303127,0,-24.6695,4
16,0.115376,0,-27.7665,4
17,-0.736409,0,-41.821,4
18,-0.352525,0,-35.4869,4
19,-0.291864,0,-39.4287,4
20,-1.06838,0,-47.2985,4
21,-0.715259,0,-41.472,4
22,0.59444,0,-20.0047,4
23,-0.518836,0,-38.2311,4
24,-0.484539,0,-37.6652,4
25,0.0879531,0,-28.219,4
0,-0.404607,0,-36.2095,5
1,-0.661687,0,-40.4513,5
2,1.00464,0,-13.4803,5
3,1.01666,1,-14.0297,5
4,0.111168,0,-27.6992,5
5,0.749202,0,-17.2698,5
6,-1.29965,0,-50.9777,5
7,0.768909,0,-17.0464,5
8,-0.656071,0,-40.3587,5
9,0.44786,0,-22.6445,5
10,-1.37366,0,-52.1988,5
11,0.201041,0,-26.2163,5
12,-0.72365,0,-41.4737,5
13,0.381734,0,-25.1235,5
14,0.43168,0,-22.4235,5
15,0.305746,0,-24.4895,5
16,0.122529,0,-27.5118,5
17,-0.757293,0,-42.0288,5
18,-0.372731,0,-35.6836,5
19,-0.281683,0,-39.1334,5
20,-1.09475,0,-47.5968,5
21,-0.719491,0,-41.4051,5
22,0.59713,0,-19.8094,5
23,-0.529342,0,-38.2676,5
24,-0.488792,0,-37.5986,5
25,0.0712568,0,-28.3578,5
0,-0.426628,0,-36.4345,5
1,-0.693233,0,-40.8335,5
2,0.981304,0,-13.6735,5
3,1.01926,1,-13.785,5
4,0.0887992,0,-27.9299,5
5,0.718136,0,-17.6211,5
6,-1.31655,0,-51.1182,5
7,0.750686,0,-17.1792,5
8,-0.689583,0,-40.7732,5
9,0.443975,0,-22.5562,5
10,-1.39273,0,-52.3752,5
11,0.191234,0,-26.2398,5
12,-0.736486,0,-41.5471,5
