value,exe_time,ues,enbs
132.532,0.006874,200,5
132.532,0.005096,200,5
132.532,0.005937,200,5
132.532,0.005915,200,5
132.532,0.005309,200,5
132.532,0.005866,200,5
132.532,0.005688,200,5
132.532,0.005245,200,5
132.532,0.005494,200,5
132.532,0.005032,200,5
132.532,0.005338,200,5
132.532,0.006487,200,5
132.532,0.00511,200,5
132.532,0.00498,200,5
132.532,0.005243,200,5
132.532,0.005433,200,5
132.532,0.005388,200,5
132.532,0.005364,200,5
132.532,0.005047,200,5
132.532,0.005665,200,5
132.532,0.005476,200,5
132.532,0.005108,200,5
132.532,0.005461,200,5
132.532,0.006066,200,5
132.532,0.005541,200,5
132.532,0.005532,200,5
132.532,0.00555,200,5
132.532,0.005061,200,5
132.532,0.005145,200,5
132.532,0.00555,200,5
