value,exe_time,ues,enbs
66.5778,0.008083,100,10
66.5778,0.007461,100,10
66.5778,0.00644,100,10
66.5778,0.006065,100,10
66.5778,0.006165,100,10
66.5778,0.006201,100,10
66.5778,0.007718,100,10
66.5778,0.006672,100,10
66.5778,0.00645,100,10
66.5778,0.006099,100,10
66.5778,0.006196,100,10
66.5778,0.006346,100,10
66.5778,0.006404,100,10
66.5778,0.006308,100,10
66.5778,0.006248,100,10
66.5778,0.00596,100,10
66.5778,0.006042,100,10
66.5778,0.006171,100,10
66.5778,0.006509,100,10
66.5778,0.006186,100,10
66.5778,0.008539,100,10
66.5778,0.00705,100,10
66.5778,0.006662,100,10
66.5778,0.007233,100,10
66.5778,0.006102,100,10
66.5778,0.006754,100,10
66.5778,0.006331,100,10
66.5778,0.005946,100,10
66.5778,0.007085,100,10
66.5778,0.006029,100,10
