value,exe_time,ues,enbs
66.895,0.005246,100,5
66.895,0.003371,100,5
66.895,0.003401,100,5
66.895,0.003161,100,5
66.895,0.003406,100,5
66.895,0.003392,100,5
66.895,0.003388,100,5
66.895,0.003377,100,5
66.895,0.003255,100,5
66.895,0.003258,100,5
66.895,0.003167,100,5
66.895,0.003458,100,5
66.895,0.003337,100,5
66.895,0.003493,100,5
66.895,0.003381,100,5
66.895,0.003041,100,5
66.895,0.003039,100,5
66.895,0.003034,100,5
66.895,0.003051,100,5
66.895,0.003318,100,5
66.895,0.003284,100,5
66.895,0.003173,100,5
66.895,0.003002,100,5
66.895,0.003228,100,5
66.895,0.003131,100,5
66.895,0.003144,100,5
66.895,0.003649,100,5
66.895,0.003054,100,5
66.895,0.003383,100,5
66.895,0.003527,100,5
