value,exe_time,ues,enbs
123.767,0.023727,200,20
123.767,0.019162,200,20
123.767,0.022536,200,20
123.767,0.0203,200,20
123.767,0.01959,200,20
123.767,0.020057,200,20
123.767,0.021658,200,20
123.767,0.021519,200,20
123.767,0.021632,200,20
123.767,0.022258,200,20
123.767,0.020608,200,20
123.767,0.019559,200,20
123.767,0.020284,200,20
123.767,0.021095,200,20
123.767,0.020411,200,20
123.767,0.021261,200,20
123.767,0.019761,200,20
123.767,0.02055,200,20
123.767,0.019788,200,20
123.767,0.02055,200,20
123.767,0.020428,200,20
123.767,0.02207,200,20
123.767,0.020508,200,20
123.767,0.020215,200,20
123.767,0.020872,200,20
123.767,0.021897,200,20
123.767,0.02084,200,20
123.767,0.020555,200,20
123.767,0.020028,200,20
123.767,0.020526,200,20
