value,exe_time,ues,enbs
66.4132,0.013877,100,20
66.4132,0.010657,100,20
66.4132,0.010266,100,20
66.4132,0.011871,100,20
66.4132,0.010505,100,20
66.4132,0.011619,100,20
66.4132,0.011233,100,20
66.4132,0.010653,100,20
66.4132,0.010308,100,20
66.4132,0.010113,100,20
66.4132,0.011045,100,20
66.4132,0.010516,100,20
66.4132,0.012,100,20
66.4132,0.014193,100,20
66.4132,0.010616,100,20
66.4132,0.010405,100,20
66.4132,0.010498,100,20
66.4132,0.01007,100,20
66.4132,0.010785,100,20
66.4132,0.010717,100,20
66.4132,0.010145,100,20
66.4132,0.010254,100,20
66.4132,0.010239,100,20
66.4132,0.010176,100,20
66.4132,0.010433,100,20
66.4132,0.010859,100,20
66.4132,0.011479,100,20
66.4132,0.012491,100,20
66.4132,0.010704,100,20
66.4132,0.010712,100,20
